sigma,rpa,deg,u0,omega,psi1,u1,cost,success
0.05,5.0,70,-1.314622113409475,20.15429424256434,8.99375294056338e-08,-1.1618502685993149e-07,1.2773319620255218e-14,True
0.05,5.0,110,-1.244169251204455,22.360618828036,2.6321591547038257e-08,-3.355856595229316e-08,1.208735889891301e-15,True
0.05,5.0,130,-0.9535757262017172,22.28585662626464,2.298540514843577e-08,-2.9281779045718864e-08,9.07244865700196e-16,True
0.05,5.0,150,-0.6833393725829378,22.278391395952795,9.383050483206698e-09,-1.1966200769108496e-08,1.5262067205879027e-16,True
0.05,5.0,60,-1.27072147693834,22.34713312739468,1.5000238631683762e-08,-1.902876300223865e-08,3.941264798979698e-16,True
0.05,3.0,60,-1.7804835220296698,13.416398288424588,6.359522677841091e-06,-9.382051386819624e-06,6.532162580721944e-11,True
0.05,3.0,50,-1.7389483623103137,13.416402210208432,4.886629880497116e-06,-7.197322018786329e-06,3.8660665100342697e-11,True
0.05,5.0,50,-1.2126902415122487,21.60978806199328,1.9878324037732256e-08,-2.480456937893258e-08,6.44947499879105e-16,True
0.05,3.0,40,-1.698747401137468,13.416405813267822,0.0004093712196342,0.0002614977067152,0.005115900110018,True
0.05,3.0,30,-1.6627545088896645,13.416405857943587,0.0007304385263714,0.000473336704463,0.0360652485140219,True
0.05,5.0,40,-1.1445697287042016,22.3588130842271,8.138699317486449e-09,-1.0341531584961609e-08,1.166100986800486e-16,True
0.05,3.0,20,-1.6328401055067356,13.416407618366092,0.0009127047061325,0.0005934911583146,0.1099038659094158,True
0.05,5.0,30,-1.0706572871357931,21.69326288701956,8.377534681748421e-09,-1.0467033718263317e-08,1.1490027131493e-16,True
0.05,3.0,10,-1.6133886851754016,13.41640748912158,0.0010156254817147,0.0006613706547526,0.2289186865572381,True
0.05,5.0,20,-0.9964618907184456,22.359928453164308,2.63962174008346e-09,-3.361779525127397e-09,1.2183748371334046e-17,True
0.05,5.0,10,-0.9308010647208236,22.24310158670916,8.050778986971088e-10,-1.0207876307913051e-09,1.1125087481291293e-18,True
0.05,4.0,20,-1.2090128081384786,17.31250295700358,7.674854828743725e-08,-1.0757458268208329e-07,9.387891797806508e-15,True
0.05,4.0,10,-1.1498715151543544,17.888536683913646,1.4220365551368725e-08,-1.968041989143921e-08,3.2092271662249203e-16,True
0.05,3.0,69,-1.8048176573962185,13.416407165220884,7.627074792723693e-06,-1.1263134139867236e-05,9.386008120896627e-11,True
0.05,3.0,68,-1.8028280456225376,13.41640221718806,7.491501217014031e-06,-1.1061879662405265e-05,9.056017112161014e-11,True
0.05,3.0,67,-1.8006497331632745,13.41640066717408,7.354336496766424e-06,-1.08582820206275e-05,8.728193073095936e-11,True
0.05,3.0,66,-1.7982870923911576,13.416404682498248,7.215689533386385e-06,-1.065249795201719e-05,8.402994571208902e-11,True
0.05,3.0,65,-1.7957442555892933,13.416404366357598,7.075719061992535e-06,-1.0444767170302313e-05,8.080984298820058e-11,True
